month,Peak,Off Peak
Jan-26,$63.65 ,$50.60 
Feb-26,$53.00 ,$43.55 
Mar-26,$43.45 ,$31.50 
Apr-26,$39.60 ,$27.95 
May-26,$41.55 ,$28.15 
Jun-26,$45.05 ,$27.60 
Jul-26,$66.90 ,$36.30 
Aug-26,$59.35 ,$32.35 
Sep-26,$46.55 ,$27.30 
Oct-26,$44.20 ,$30.45 
Nov-26,$43.80 ,$33.80 
Dec-26,$52.85 ,$42.95 
Jan-27,$73.90 ,$64.20 
Feb-27,$65.90 ,$57.10 
Mar-27,$44.80 ,$34.70 
Apr-27,$43.20 ,$28.65 
May-27,$46.55 ,$28.65 
Jun-27,$48.80 ,$27.30 
Jul-27,$73.15 ,$36.45 
Aug-27,$66.65 ,$33.95 
Sep-27,$48.85 ,$29.50 
Oct-27,$46.30 ,$31.65 
Nov-27,$46.05 ,$35.50 
Dec-27,$54.60 ,$42.95 
Jan-28,$76.21 ,$67.74 
Feb-28,$68.21 ,$60.64 
Mar-28,$47.11 ,$38.24 
Apr-28,$45.51 ,$32.19 
May-28,$48.86 ,$32.19 
Jun-28,$51.11 ,$30.84 
Jul-28,$75.46 ,$39.99 
Aug-28,$68.96 ,$37.49 
Sep-28,$51.16 ,$33.04 
Oct-28,$48.61 ,$35.19 
Nov-28,$48.36 ,$39.04 
Dec-28,$56.91 ,$46.49 
Jan-29,$68.86 ,$61.19 
Feb-29,$62.38 ,$54.91 
Mar-29,$43.62 ,$35.45 
Apr-29,$41.58 ,$29.73 
May-29,$44.60 ,$30.61 
Jun-29,$47.69 ,$29.81 
Jul-29,$68.99 ,$38.48 
Aug-29,$63.21 ,$36.50 
Sep-29,$47.68 ,$30.86 
Oct-29,$45.23 ,$32.46 
Nov-29,$45.89 ,$36.59 
Dec-29,$52.48 ,$43.22 
Jan-30,$62.09 ,$54.08 
Feb-30,$56.27 ,$48.62 
Mar-30,$40.72 ,$30.70 
Apr-30,$37.76 ,$26.27 
May-30,$41.54 ,$27.62 
Jun-30,$43.89 ,$29.08 
Jul-30,$62.88 ,$37.66 
Aug-30,$58.04 ,$36.21 
Sep-30,$43.94 ,$29.59 
Oct-30,$41.29 ,$30.28 
Nov-30,$43.64 ,$35.88 
Dec-30,$49.79 ,$39.44 
