Date,HE,P/OP,Gen,Busbar,Hub,DA Busbar,DA Hub
1-Jan-22,1,OP,-  ,$60.36 ,$60.00 ,$58.03 ,$57.68 
1-Jan-22,2,OP,-  ,$58.14 ,$58.14 ,$60.56 ,$60.24 
1-Jan-22,3,OP,-  ,$60.43 ,$59.96 ,$57.50 ,$57.40 
1-Jan-22,4,OP,-  ,$66.69 ,$65.84 ,$58.38 ,$58.29 
1-Jan-22,5,OP,-  ,$66.09 ,$65.15 ,$60.47 ,$60.30 
1-Jan-22,6,OP,-  ,$79.13 ,$78.20 ,$74.94 ,$74.60 
1-Jan-22,7,OP,-  ,$89.81 ,$88.83 ,$82.32 ,$81.80 
1-Jan-22,8,OP,20.9 ,$84.85 ,$83.55 ,$75.11 ,$74.70 
1-Jan-22,9,OP,87.3 ,$52.87 ,$52.18 ,$52.49 ,$52.24 
1-Jan-22,10,OP,91.3 ,$38.30 ,$38.68 ,$38.39 ,$38.23 
1-Jan-22,11,OP,85.7 ,$16.19 ,$17.52 ,$32.96 ,$32.98 
1-Jan-22,12,OP,81.1 ,$12.39 ,$12.90 ,$26.69 ,$26.57 
1-Jan-22,13,OP,81.2 ,$14.43 ,$14.29 ,$25.97 ,$25.86 
1-Jan-22,14,OP,85.8 ,$13.65 ,$13.51 ,$28.07 ,$27.95 
1-Jan-22,15,OP,90.7 ,$14.43 ,$14.25 ,$31.17 ,$31.08 
1-Jan-22,16,OP,81.8 ,$35.71 ,$35.36 ,$53.62 ,$53.52 
1-Jan-22,17,OP,16.4 ,$77.06 ,$76.65 ,$81.23 ,$80.74 
1-Jan-22,18,OP,-  ,$103.38 ,$102.50 ,$90.85 ,$90.33 
1-Jan-22,19,OP,-  ,$92.35 ,$90.97 ,$90.89 ,$90.25 
1-Jan-22,20,OP,-  ,$91.30 ,$90.08 ,$87.30 ,$86.65 
1-Jan-22,21,OP,-  ,$80.44 ,$79.54 ,$81.86 ,$81.37 
1-Jan-22,22,OP,-  ,$80.15 ,$79.50 ,$78.54 ,$78.14 
1-Jan-22,23,OP,-  ,$78.99 ,$78.18 ,$75.06 ,$74.70 
1-Jan-22,24,OP,-  ,$74.94 ,$74.09 ,$65.14 ,$64.95 
2-Jan-22,1,OP,-  ,$65.29 ,$64.63 ,$65.07 ,$64.66 
2-Jan-22,2,OP,-  ,$68.05 ,$67.32 ,$62.75 ,$62.46 
2-Jan-22,3,OP,-  ,$64.23 ,$63.67 ,$62.40 ,$62.35 
2-Jan-22,4,OP,-  ,$62.46 ,$61.66 ,$62.04 ,$62.00 
2-Jan-22,5,OP,-  ,$63.18 ,$62.40 ,$64.08 ,$63.92 
2-Jan-22,6,OP,-  ,$65.08 ,$64.27 ,$72.76 ,$72.56 
2-Jan-22,7,OP,-  ,$100.27 ,$98.93 ,$74.87 ,$74.64 
2-Jan-22,8,OP,20.4 ,$79.73 ,$78.54 ,$70.51 ,$70.22 
2-Jan-22,9,OP,85.5 ,$57.62 ,$56.94 ,$51.49 ,$51.39 
2-Jan-22,10,OP,89.7 ,$31.39 ,$32.14 ,$38.36 ,$38.26 
2-Jan-22,11,OP,84.6 ,$19.35 ,$20.66 ,$28.52 ,$31.32 
2-Jan-22,12,OP,80.0 ,$18.30 ,$19.58 ,$25.32 ,$26.53 
2-Jan-22,13,OP,80.0 ,$20.95 ,$22.04 ,$25.06 ,$24.98 
2-Jan-22,14,OP,84.4 ,$14.71 ,$16.29 ,$25.75 ,$25.69 
2-Jan-22,15,OP,88.9 ,$25.73 ,$26.89 ,$29.86 ,$29.82 
2-Jan-22,16,OP,80.6 ,$58.03 ,$57.93 ,$51.51 ,$51.49 
2-Jan-22,17,OP,16.6 ,$96.41 ,$96.41 ,$75.58 ,$75.19 
2-Jan-22,18,OP,-  ,$100.10 ,$98.90 ,$90.44 ,$89.97 
2-Jan-22,19,OP,-  ,$95.83 ,$94.60 ,$87.82 ,$87.34 
2-Jan-22,20,OP,-  ,$91.62 ,$90.64 ,$86.56 ,$85.99 
2-Jan-22,21,OP,-  ,$84.53 ,$83.70 ,$82.63 ,$82.11 
2-Jan-22,22,OP,-  ,$83.34 ,$82.69 ,$75.84 ,$75.45 
2-Jan-22,23,OP,-  ,$72.02 ,$71.55 ,$70.33 ,$69.92 
2-Jan-22,24,OP,-  ,$68.44 ,$67.99 ,$67.65 ,$67.54 
3-Jan-22,1,OP,-  ,$64.02 ,$63.87 ,$65.96 ,$65.65 
3-Jan-22,2,OP,-  ,$64.74 ,$64.64 ,$65.27 ,$65.04 
3-Jan-22,3,OP,-  ,$63.54 ,$63.55 ,$64.87 ,$64.68 
3-Jan-22,4,OP,-  ,$63.47 ,$63.47 ,$64.30 ,$64.12 
3-Jan-22,5,OP,-  ,$67.83 ,$67.75 ,$66.35 ,$66.18 
3-Jan-22,6,OP,-  ,$86.47 ,$86.47 ,$77.15 ,$76.78 
3-Jan-22,7,P,-  ,$118.81 ,$118.64 ,$102.69 ,$102.16 
3-Jan-22,8,P,19.7 ,$89.52 ,$88.85 ,$98.62 ,$97.89 
3-Jan-22,9,P,85.0 ,$74.36 ,$74.26 ,$72.99 ,$73.09 
3-Jan-22,10,P,89.2 ,$60.70 ,$60.37 ,$58.72 ,$59.02 
3-Jan-22,11,P,84.1 ,$54.91 ,$53.65 ,$47.84 ,$48.59 
3-Jan-22,12,P,79.5 ,$56.10 ,$54.81 ,$46.97 ,$47.47 
3-Jan-22,13,P,79.4 ,$52.61 ,$51.26 ,$46.59 ,$47.04 
3-Jan-22,14,P,83.6 ,$54.01 ,$52.39 ,$44.97 ,$45.51 
3-Jan-22,15,P,88.2 ,$57.92 ,$57.30 ,$47.48 ,$47.96 
3-Jan-22,16,P,80.0 ,$84.50 ,$83.65 ,$59.27 ,$59.41 
3-Jan-22,17,P,17.0 ,$106.34 ,$105.55 ,$88.89 ,$88.84 
3-Jan-22,18,P,-  ,$105.20 ,$105.20 ,$118.62 ,$118.39 
3-Jan-22,19,P,-  ,$101.02 ,$100.33 ,$106.07 ,$106.01 
3-Jan-22,20,P,-  ,$91.12 ,$90.62 ,$96.69 ,$96.58 
3-Jan-22,21,P,-  ,$91.50 ,$91.11 ,$87.61 ,$87.57 
3-Jan-22,22,P,-  ,$75.55 ,$75.50 ,$76.85 ,$77.02 
3-Jan-22,23,OP,-  ,$74.83 ,$75.08 ,$73.84 ,$73.82 
3-Jan-22,24,OP,-  ,$62.39 ,$62.69 ,$66.09 ,$66.46 
4-Jan-22,1,OP,-  ,$56.64 ,$56.64 ,$53.67 ,$53.86 
4-Jan-22,2,OP,-  ,$54.85 ,$55.03 ,$51.39 ,$51.57 
4-Jan-22,3,OP,-  ,$54.26 ,$54.49 ,$50.81 ,$51.07 
4-Jan-22,4,OP,-  ,$54.74 ,$54.93 ,$50.36 ,$50.49 
4-Jan-22,5,OP,-  ,$56.10 ,$56.32 ,$51.15 ,$51.31 
4-Jan-22,6,OP,-  ,$64.33 ,$64.44 ,$59.36 ,$59.33 
4-Jan-22,7,P,-  ,$71.85 ,$72.03 ,$82.54 ,$82.72 
4-Jan-22,8,P,19.7 ,$77.57 ,$77.17 ,$78.33 ,$78.40 
4-Jan-22,9,P,84.9 ,$55.35 ,$54.96 ,$58.21 ,$58.36 
4-Jan-22,10,P,89.3 ,$44.29 ,$44.27 ,$48.24 ,$48.78 
4-Jan-22,11,P,84.4 ,$27.88 ,$29.14 ,$39.02 ,$40.11 
4-Jan-22,12,P,79.6 ,$14.52 ,$15.84 ,$33.68 ,$34.53 
4-Jan-22,13,P,79.3 ,$13.98 ,$15.02 ,$33.01 ,$33.88 
4-Jan-22,14,P,83.5 ,$18.52 ,$19.13 ,$34.34 ,$35.34 
4-Jan-22,15,P,88.0 ,$11.83 ,$13.28 ,$39.29 ,$40.06 
4-Jan-22,16,P,81.0 ,$51.37 ,$51.35 ,$56.05 ,$56.46 
4-Jan-22,17,P,17.7 ,$68.33 ,$67.93 ,$78.54 ,$78.70 
4-Jan-22,18,P,-  ,$92.15 ,$91.36 ,$92.38 ,$92.40 
4-Jan-22,19,P,-  ,$86.85 ,$86.24 ,$86.49 ,$86.46 
4-Jan-22,20,P,-  ,$76.50 ,$76.23 ,$80.09 ,$80.07 
4-Jan-22,21,P,-  ,$70.45 ,$70.27 ,$78.22 ,$78.34 
4-Jan-22,22,P,-  ,$60.79 ,$60.75 ,$69.62 ,$69.76 
4-Jan-22,23,OP,-  ,$54.28 ,$54.19 ,$60.98 ,$60.92 
4-Jan-22,24,OP,-  ,$50.78 ,$50.62 ,$58.30 ,$58.24 
5-Jan-22,1,OP,-  ,$40.77 ,$40.62 ,$51.83 ,$51.95 
5-Jan-22,2,OP,-  ,$38.61 ,$38.54 ,$49.27 ,$49.39 
5-Jan-22,3,OP,-  ,$46.11 ,$46.15 ,$48.32 ,$48.36 
5-Jan-22,4,OP,-  ,$47.07 ,$47.14 ,$47.62 ,$47.68 
5-Jan-22,5,OP,-  ,$46.73 ,$46.72 ,$48.05 ,$48.14 
5-Jan-22,6,OP,-  ,$50.50 ,$50.45 ,$55.83 ,$55.82 
5-Jan-22,7,P,-  ,$66.52 ,$66.47 ,$77.22 ,$77.44 
5-Jan-22,8,P,6.0 ,$79.64 ,$78.89 ,$77.44 ,$77.41 
5-Jan-22,9,P,32.3 ,$50.57 ,$49.87 ,$56.33 ,$56.36 
5-Jan-22,10,P,24.5 ,$40.28 ,$39.59 ,$46.62 ,$47.03 
5-Jan-22,11,P,27.2 ,$30.51 ,$30.31 ,$41.15 ,$41.66 
5-Jan-22,12,P,26.8 ,$6.54 ,$8.25 ,$37.45 ,$37.63 
5-Jan-22,13,P,30.1 ,($0.29),$1.64 ,$36.04 ,$36.32 
5-Jan-22,14,P,15.7 ,$7.36 ,$8.59 ,$36.72 ,$37.15 
5-Jan-22,15,P,9.3 ,$32.99 ,$33.02 ,$41.17 ,$41.65 
5-Jan-22,16,P,1.9 ,$46.87 ,$46.26 ,$56.86 ,$56.82 
5-Jan-22,17,P,-  ,$67.01 ,$65.96 ,$80.00 ,$79.54 
5-Jan-22,18,P,-  ,$81.26 ,$79.87 ,$91.10 ,$90.52 
5-Jan-22,19,P,-  ,$71.09 ,$70.01 ,$84.67 ,$84.08 
5-Jan-22,20,P,-  ,$74.01 ,$72.89 ,$79.16 ,$78.52 
5-Jan-22,21,P,-  ,$73.98 ,$72.82 ,$76.05 ,$75.54 
5-Jan-22,22,P,-  ,$61.41 ,$60.62 ,$70.69 ,$70.28 
5-Jan-22,23,OP,-  ,$56.30 ,$55.63 ,$62.39 ,$61.97 
5-Jan-22,24,OP,-  ,$52.93 ,$52.22 ,$55.57 ,$55.13 
6-Jan-22,1,OP,-  ,$50.80 ,$50.15 ,$47.55 ,$47.46 
6-Jan-22,2,OP,-  ,$50.14 ,$49.57 ,$46.32 ,$46.21 
6-Jan-22,3,OP,-  ,$48.89 ,$48.41 ,$46.20 ,$46.11 
6-Jan-22,4,OP,-  ,$49.24 ,$48.81 ,$46.32 ,$46.25 
6-Jan-22,5,OP,-  ,$50.04 ,$49.59 ,$47.76 ,$47.68 
6-Jan-22,6,OP,-  ,$64.47 ,$63.91 ,$56.28 ,$56.13 
6-Jan-22,7,P,-  ,$77.89 ,$77.59 ,$72.64 ,$72.55 
6-Jan-22,8,P,19.1 ,$71.56 ,$71.03 ,$74.00 ,$73.76 
6-Jan-22,9,P,83.1 ,$77.32 ,$76.89 ,$54.60 ,$54.40 
6-Jan-22,10,P,88.4 ,$50.03 ,$49.63 ,$47.48 ,$47.48 
6-Jan-22,11,P,83.6 ,$47.13 ,$45.92 ,$38.36 ,$38.82 
6-Jan-22,12,P,79.2 ,$43.59 ,$42.37 ,$34.26 ,$34.61 
6-Jan-22,13,P,79.0 ,$36.09 ,$35.11 ,$33.85 ,$34.08 
6-Jan-22,14,P,82.9 ,$26.75 ,$26.82 ,$33.91 ,$34.15 
6-Jan-22,15,P,87.0 ,$37.11 ,$36.91 ,$37.26 ,$37.39 
6-Jan-22,16,P,81.5 ,$55.02 ,$54.85 ,$51.83 ,$51.79 
6-Jan-22,17,P,18.7 ,$73.54 ,$72.54 ,$70.07 ,$70.23 
6-Jan-22,18,P,-  ,$93.18 ,$93.18 ,$83.61 ,$83.41 
6-Jan-22,19,P,-  ,$79.01 ,$78.04 ,$74.56 ,$74.41 
6-Jan-22,20,P,-  ,$76.03 ,$75.26 ,$70.35 ,$70.26 
6-Jan-22,21,P,-  ,$71.85 ,$71.14 ,$65.59 ,$65.45 
6-Jan-22,22,P,-  ,$62.29 ,$61.76 ,$60.88 ,$60.79 
6-Jan-22,23,OP,-  ,$51.46 ,$51.10 ,$57.54 ,$57.38 
6-Jan-22,24,OP,-  ,$46.84 ,$46.59 ,$53.34 ,$53.27 
7-Jan-22,1,OP,-  ,$46.62 ,$46.28 ,$49.67 ,$49.63 
7-Jan-22,2,OP,-  ,$47.29 ,$47.00 ,$47.92 ,$47.87 
7-Jan-22,3,OP,-  ,$46.49 ,$46.23 ,$45.63 ,$45.56 
7-Jan-22,4,OP,-  ,$46.97 ,$46.76 ,$44.93 ,$44.90 
7-Jan-22,5,OP,-  ,$48.81 ,$48.68 ,$44.77 ,$44.71 
7-Jan-22,6,OP,-  ,$53.78 ,$53.67 ,$52.38 ,$52.29 
7-Jan-22,7,P,-  ,$63.78 ,$63.76 ,$65.00 ,$65.00 
7-Jan-22,8,P,7.0 ,$62.87 ,$64.09 ,$60.75 ,$60.62 
7-Jan-22,9,P,45.0 ,$59.12 ,$59.70 ,$50.50 ,$50.18 
7-Jan-22,10,P,31.3 ,$40.83 ,$40.36 ,$45.28 ,$45.06 
7-Jan-22,11,P,72.3 ,$37.10 ,$36.20 ,$38.42 ,$38.36 
