Date,HE,P/OP,Gen,Busbar,Hub,DA Busbar,DA Hub
1-Jan-22,1,OP,15.4 ,$20.57 ,$21.01 ,$5.20 ,$22.16 
1-Jan-22,2,OP,19.6 ,$20.87 ,$22.41 ,$5.61 ,$22.02 
1-Jan-22,3,OP,16.4 ,$20.84 ,$20.60 ,$3.90 ,$22.34 
1-Jan-22,4,OP,17.5 ,$20.32 ,$21.79 ,$4.65 ,$22.27 
1-Jan-22,5,OP,24.4 ,$19.88 ,$21.54 ,$4.82 ,$22.29 
1-Jan-22,6,OP,15.0 ,$19.44 ,$21.00 ,$3.81 ,$22.26 
1-Jan-22,7,OP,5.5 ,$20.96 ,$22.46 ,$4.10 ,$22.44 
1-Jan-22,8,OP,4.4 ,$21.02 ,$22.41 ,$3.01 ,$26.05 
1-Jan-22,9,OP,12.0 ,$21.51 ,$23.06 ,$3.41 ,$28.13 
1-Jan-22,10,OP,8.3 ,$22.34 ,$23.74 ,$7.68 ,$32.72 
1-Jan-22,11,OP,3.5 ,$23.01 ,$24.07 ,$12.00 ,$34.56 
1-Jan-22,12,OP,0.3 ,$26.56 ,$27.72 ,$10.92 ,$37.52 
1-Jan-22,13,OP,1.4 ,$27.48 ,$28.74 ,$9.12 ,$37.38 
1-Jan-22,14,OP,4.3 ,$26.00 ,$27.28 ,$10.44 ,$35.63 
1-Jan-22,15,OP,3.4 ,$25.81 ,$27.02 ,$8.45 ,$34.95 
1-Jan-22,16,OP,4.1 ,$25.12 ,$26.27 ,$9.60 ,$38.62 
1-Jan-22,17,OP,0.9 ,$25.34 ,$26.45 ,$9.79 ,$35.00 
1-Jan-22,18,OP,3.8 ,$28.30 ,$29.68 ,$16.88 ,$45.03 
1-Jan-22,19,OP,12.0 ,$30.39 ,$32.21 ,$28.09 ,$55.00 
1-Jan-22,20,OP,16.7 ,$28.80 ,$30.63 ,$23.50 ,$48.95 
1-Jan-22,21,OP,13.2 ,$27.65 ,$29.59 ,$18.09 ,$43.84 
1-Jan-22,22,OP,2.0 ,$29.37 ,$31.26 ,$20.61 ,$45.50 
1-Jan-22,23,OP,2.8 ,$28.55 ,$30.19 ,$27.74 ,$48.90 
1-Jan-22,24,OP,8.5 ,$29.51 ,$30.98 ,$29.70 ,$44.39 
2-Jan-22,1,OP,7.6 ,$26.76 ,$28.04 ,$31.90 ,$35.21 
2-Jan-22,2,OP,4.0 ,$26.23 ,$27.26 ,$31.90 ,$35.43 
2-Jan-22,3,OP,8.1 ,$25.77 ,$26.73 ,$29.64 ,$35.00 
2-Jan-22,4,OP,7.8 ,$26.05 ,$27.00 ,$29.59 ,$32.58 
2-Jan-22,5,OP,10.4 ,$26.84 ,$27.67 ,$28.90 ,$33.65 
2-Jan-22,6,OP,6.8 ,$25.76 ,$26.88 ,$30.70 ,$33.86 
2-Jan-22,7,OP,11.3 ,$26.91 ,$28.24 ,$31.87 ,$37.36 
2-Jan-22,8,OP,25.1 ,$29.60 ,$31.44 ,$28.39 ,$39.26 
2-Jan-22,9,OP,22.4 ,$31.03 ,$40.68 ,$32.33 ,$47.00 
2-Jan-22,10,OP,39.7 ,$34.13 ,$40.75 ,$41.10 ,$51.64 
2-Jan-22,11,OP,57.1 ,$18.64 ,$39.84 ,$44.85 ,$55.84 
2-Jan-22,12,OP,37.6 ,$19.90 ,$37.74 ,$41.53 ,$56.69 
2-Jan-22,13,OP,18.0 ,$7.18 ,$36.86 ,$31.97 ,$49.80 
2-Jan-22,14,OP,30.6 ,$30.60 ,$37.30 ,$29.46 ,$45.31 
