asset,month,bucket,expected_mwh
Wind_B,2026-01-01,Off-Peak,17.380922
Wind_B,2026-01-01,Peak,18.337633
Wind_B,2026-02-01,Off-Peak,24.945301
Wind_B,2026-02-01,Peak,26.620363
Wind_B,2026-03-01,Off-Peak,24.281693
Wind_B,2026-03-01,Peak,25.089003
Wind_B,2026-04-01,Off-Peak,13.261699
Wind_B,2026-04-01,Peak,14.548358
Wind_B,2026-05-01,Off-Peak,22.218513
Wind_B,2026-05-01,Peak,21.67775
Wind_B,2026-06-01,Off-Peak,22.74895
Wind_B,2026-06-01,Peak,20.107689
Wind_B,2026-07-01,Off-Peak,20.433037
Wind_B,2026-07-01,Peak,15.356549
Wind_B,2026-08-01,Off-Peak,20.233538
Wind_B,2026-08-01,Peak,16.052536
Wind_B,2026-09-01,Off-Peak,16.372952
Wind_B,2026-09-01,Peak,16.052746
Wind_B,2026-10-01,Off-Peak,19.4158
Wind_B,2026-10-01,Peak,20.811909
Wind_B,2026-11-01,Off-Peak,18.5574
Wind_B,2026-11-01,Peak,18.496325
Wind_B,2026-12-01,Off-Peak,19.81246
Wind_B,2026-12-01,Peak,20.663597
Wind_B,2027-01-01,Off-Peak,17.427067
Wind_B,2027-01-01,Peak,18.432068
Wind_B,2027-02-01,Off-Peak,24.763517
Wind_B,2027-02-01,Peak,26.260088
Wind_B,2027-03-01,Off-Peak,24.030315
Wind_B,2027-03-01,Peak,25.312737
Wind_B,2027-04-01,Off-Peak,13.247138
Wind_B,2027-04-01,Peak,14.489378
Wind_B,2027-05-01,Off-Peak,21.88654
Wind_B,2027-05-01,Peak,21.59764
Wind_B,2027-06-01,Off-Peak,22.777807
Wind_B,2027-06-01,Peak,20.103588
Wind_B,2027-07-01,Off-Peak,20.236506
Wind_B,2027-07-01,Peak,15.21778
Wind_B,2027-08-01,Off-Peak,20.291891
Wind_B,2027-08-01,Peak,16.136961
Wind_B,2027-09-01,Off-Peak,16.277243
Wind_B,2027-09-01,Peak,16.070621
Wind_B,2027-10-01,Off-Peak,19.509325
Wind_B,2027-10-01,Peak,20.715706
Wind_B,2027-11-01,Off-Peak,18.40169
Wind_B,2027-11-01,Peak,18.680157
Wind_B,2027-12-01,Off-Peak,20.056923
Wind_B,2027-12-01,Peak,20.353678
Wind_B,2028-01-01,Off-Peak,17.350346
Wind_B,2028-01-01,Peak,18.15559
Wind_B,2028-02-01,Off-Peak,24.765024
Wind_B,2028-02-01,Peak,26.22363
Wind_B,2028-03-01,Off-Peak,24.021944
Wind_B,2028-03-01,Peak,25.239475
Wind_B,2028-04-01,Off-Peak,13.330962
Wind_B,2028-04-01,Peak,14.540225
Wind_B,2028-05-01,Off-Peak,22.019611
Wind_B,2028-05-01,Peak,21.621706
Wind_B,2028-06-01,Off-Peak,22.799332
Wind_B,2028-06-01,Peak,20.147247
Wind_B,2028-07-01,Off-Peak,19.979935
Wind_B,2028-07-01,Peak,15.261196
