asset,month,bucket,expected_mwh
Wind_A,2026-01-01,Off-Peak,18.138584
Wind_A,2026-01-01,Peak,19.501377
Wind_A,2026-02-01,Off-Peak,16.322048
Wind_A,2026-02-01,Peak,18.180319
Wind_A,2026-03-01,Off-Peak,21.078482
Wind_A,2026-03-01,Peak,22.480635
Wind_A,2026-04-01,Off-Peak,19.163677
Wind_A,2026-04-01,Peak,20.743156
Wind_A,2026-05-01,Off-Peak,24.89382
Wind_A,2026-05-01,Peak,24.044697
Wind_A,2026-06-01,Off-Peak,28.011444
Wind_A,2026-06-01,Peak,29.664835
Wind_A,2026-07-01,Off-Peak,26.725426
Wind_A,2026-07-01,Peak,30.740065
Wind_A,2026-08-01,Off-Peak,19.367546
Wind_A,2026-08-01,Peak,22.251385
Wind_A,2026-09-01,Off-Peak,12.751143
Wind_A,2026-09-01,Peak,14.991483
Wind_A,2026-10-01,Off-Peak,16.81921
Wind_A,2026-10-01,Peak,17.16705
Wind_A,2026-11-01,Off-Peak,19.178139
Wind_A,2026-11-01,Peak,18.490719
Wind_A,2026-12-01,Off-Peak,17.320389
Wind_A,2026-12-01,Peak,18.897541
Wind_A,2027-01-01,Off-Peak,18.184004
Wind_A,2027-01-01,Peak,19.59309
Wind_A,2027-02-01,Off-Peak,16.25527
Wind_A,2027-02-01,Peak,18.06665
Wind_A,2027-03-01,Off-Peak,20.962431
Wind_A,2027-03-01,Peak,22.333921
Wind_A,2027-04-01,Off-Peak,19.126944
Wind_A,2027-04-01,Peak,20.61782
Wind_A,2027-05-01,Off-Peak,24.992586
Wind_A,2027-05-01,Peak,24.083958
Wind_A,2027-06-01,Off-Peak,27.942394
Wind_A,2027-06-01,Peak,30.09071
Wind_A,2027-07-01,Off-Peak,27.11021
Wind_A,2027-07-01,Peak,30.90131
Wind_A,2027-08-01,Off-Peak,19.412115
Wind_A,2027-08-01,Peak,22.31427
Wind_A,2027-09-01,Off-Peak,12.710267
Wind_A,2027-09-01,Peak,15.028244
Wind_A,2027-10-01,Off-Peak,17.154343
Wind_A,2027-10-01,Peak,17.364029
Wind_A,2027-11-01,Off-Peak,19.34855
Wind_A,2027-11-01,Peak,18.576288
Wind_A,2027-12-01,Off-Peak,17.443449
Wind_A,2027-12-01,Peak,18.716377
Wind_A,2028-01-01,Off-Peak,18.13759
Wind_A,2028-01-01,Peak,19.55135
Wind_A,2028-02-01,Off-Peak,16.306047
Wind_A,2028-02-01,Peak,18.134148
Wind_A,2028-03-01,Off-Peak,20.89561
Wind_A,2028-03-01,Peak,22.614687
Wind_A,2028-04-01,Off-Peak,19.268463
Wind_A,2028-04-01,Peak,20.511604
Wind_A,2028-05-01,Off-Peak,24.930336
Wind_A,2028-05-01,Peak,23.810574
Wind_A,2028-06-01,Off-Peak,27.993914
Wind_A,2028-06-01,Peak,29.774214
Wind_A,2028-07-01,Off-Peak,27.223034
Wind_A,2028-07-01,Peak,30.845428
Wind_A,2028-08-01,Off-Peak,19.053122
Wind_A,2028-08-01,Peak,22.20514
Wind_A,2028-09-01,Off-Peak,12.85906
Wind_A,2028-09-01,Peak,15.099985
Wind_A,2028-10-01,Off-Peak,17.151165
Wind_A,2028-10-01,Peak,17.236164
Wind_A,2028-11-01,Off-Peak,19.198093
Wind_A,2028-11-01,Peak,18.40333
Wind_A,2028-12-01,Off-Peak,17.460592
Wind_A,2028-12-01,Peak,18.939438
Wind_A,2029-01-01,Off-Peak,18.125904
Wind_A,2029-01-01,Peak,19.497389
Wind_A,2029-02-01,Off-Peak,16.413788
Wind_A,2029-02-01,Peak,18.209246
Wind_A,2029-03-01,Off-Peak,20.970303
Wind_A,2029-03-01,Peak,22.201952
Wind_A,2029-04-01,Off-Peak,19.063377
Wind_A,2029-04-01,Peak,20.83155
Wind_A,2029-05-01,Off-Peak,25.06757
Wind_A,2029-05-01,Peak,23.96273
Wind_A,2029-06-01,Off-Peak,28.159395
Wind_A,2029-06-01,Peak,29.85358
Wind_A,2029-07-01,Off-Peak,27.131702
Wind_A,2029-07-01,Peak,30.972923
Wind_A,2029-08-01,Off-Peak,19.091978
Wind_A,2029-08-01,Peak,22.197777
Wind_A,2029-09-01,Off-Peak,12.8866
Wind_A,2029-09-01,Peak,15.022404
Wind_A,2029-10-01,Off-Peak,17.001507
Wind_A,2029-10-01,Peak,17.140974
Wind_A,2029-11-01,Off-Peak,19.099318
Wind_A,2029-11-01,Peak,18.572037
Wind_A,2029-12-01,Off-Peak,17.604542
Wind_A,2029-12-01,Peak,18.694355
Wind_A,2030-01-01,Off-Peak,18.057016
Wind_A,2030-01-01,Peak,19.594358
Wind_A,2030-02-01,Off-Peak,16.53453
Wind_A,2030-02-01,Peak,18.285381
Wind_A,2030-03-01,Off-Peak,21.012407
Wind_A,2030-03-01,Peak,22.308025
Wind_A,2030-04-01,Off-Peak,19.15852
Wind_A,2030-04-01,Peak,20.681185
Wind_A,2030-05-01,Off-Peak,24.8514
Wind_A,2030-05-01,Peak,24.034071
Wind_A,2030-06-01,Off-Peak,28.000246
Wind_A,2030-06-01,Peak,29.812584
Wind_A,2030-07-01,Off-Peak,26.800142
Wind_A,2030-07-01,Peak,30.765047
Wind_A,2030-08-01,Off-Peak,19.328503
Wind_A,2030-08-01,Peak,22.155615
Wind_A,2030-09-01,Off-Peak,12.833948
Wind_A,2030-09-01,Peak,14.90505
Wind_A,2030-10-01,Off-Peak,17.151587
Wind_A,2030-10-01,Peak,17.261803
Wind_A,2030-11-01,Off-Peak,19.171402
Wind_A,2030-11-01,Peak,18.56886
Wind_A,2030-12-01,Off-Peak,17.424189
Wind_A,2030-12-01,Peak,18.609034
